Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
2-Day Capacity Building for Hospital Counselors in the 27 Secondary Health Facilities,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202273557034,"₦5,060,000.00",DECA PROJECT CONSTRUCTION LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-18,"LAGOS ISLAND, LAGOS"
A 3-Day Annual Retreat for Pharmacy Heads of Departments in Lagos State Health Service Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202258158647,"₦16,747,500.00",OLANRENWAJU KAJOPELAY-OLA & CO.,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-18,"LAGOS ISLAND, LAGOS"
CONTRACT AWARD FOR THE COMPLETION OF TWO BLOCKS [BLOCKS 9 & 10] AT LAGOSHOMS SANGOTEDO HOUSING SCHEME.,MINISTRY OF HOUSING,ocds-5q8fsw-6202270631348,"₦155,049,922.40",VAN GULLY NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETION OF EXISTING PROJECT,"Monday, August 9, 2021",2022-06-17,"SANGOTEDO, LAGOS"
Year 2021 Capacity Building Program for Quality Improvement Teams of the 27 Secondary Health Facilities and the Health Service  Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202202037273,"₦29,900,000.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, April 22, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
A 3-Day Strategic Leadership Retreat for Hospital Executives in Lagos State Health Service Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202200547370,"₦55,384,375.00",MEDITRACK LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
3-Day Retreat for Hospital Accountant,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202265276875,"₦6,575,000.00",BOLAJI KAJOPAYE ( NIG ) ENTERPRISES,Private Organization,"₦50,000,001 to ₦100,000,000",45,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
A 2-Day Strategic Retreat for the Management Team of Health Service Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202240182718,"₦14,528,125.00",BOLAJI KAJOPAYE ( NIG ) ENTERPRISES,Private Organization,"₦50,000,001 to ₦100,000,000",45,2021,COMPLETED,,"Wednesday, September 22, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
A 3-Day Leadership and Human Resource Training for Hospital Administrators in Health Service Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202285054004,"₦13,250,000.00",MEDITRACK LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
Procurement of Equipment for Training Coordination by the Health Service Commission,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202258031718,"₦7,100,000.00",BOLAJI KAJOPAYE ( NIG ) ENTERPRISES,Private Organization,"₦50,000,001 to ₦100,000,000",45,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-17,"LAGOS ISLAND, LAGOS"
REQUEST FOR STATIONERY ITEMS FOR THE HALF YEAR 2022,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202262068128,"₦2,490,000.00",SASIA STATIONERY ENTERPRISES,Private Organization,"₦25,000,001 to ₦50,000,000",24,2022,COMPLETED,,"Tuesday, March 22, 2022",2022-06-16,"ALAUSA, IKEJA"
PROVISION OF STOP SIGNS AT 77 NO TRAFFIC LIGHT INTERSECTION IN THE STATE FOR 2021.,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202228214010,"₦74,328,693.67",FIRST PRICELESS INTEGRATED INVESTMENT LTD,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,COMPLETED,,"Wednesday, December 22, 2021",2022-06-16,"ALAUSA, IKEJA"
PROCUREMENT OF THERMOPLASTIC ROAD MARKING MACHINE AND OTHER ACCESSORIES.,MINISTRY OF TRANSPORT,ocds-5q8fsw-6202263432684,"₦9,880,118.06",PROVIDENT SOLUTIONS NETWORK LTD,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,COMPLETED,,"Thursday, November 11, 2021",2022-06-16,"IKEJA, LAGOS"
"PROCUREMENT AND INSTALLATION OF REFLECTIVE SOLAR ROAD STUDS ALONG SIMBIAT ABIOLA ROAD OFF MOBOLAJI BANK ANTHONY ROAD, IKEJA LAGOS.",MINISTRY OF TRANSPORT,ocds-5q8fsw-6202205001468,"₦9,880,118.06",TRIPPLE A. VISION ENTERPRISES,Private Organization,"₦25,000,001 to ₦50,000,000",24,2021,COMPLETED,,"Thursday, November 11, 2021",2022-06-16,"IKEJA, LAGOS"
"Junction Improvement Works, Ikorodu Roundabout",MINISTRY OF TRANSPORT,ocds-5q8fsw-6202288755128,"₦1,700,000,000.00",N.S.C.E NIG.COMPANY,Private Organization,,0,2021,ONGOING,,"Friday, April 23, 2021",2022-06-16,"IKORODU, LAGOS"
Engagement of Events Planner/Catering Services for Capacity Building with Heads of Agencies,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-6202210147486,"₦1,325,000.00",TK.ADAMS CATERING SERVICE,Private Organization,"₦5,000,001 to ₦10,000,000",14,2021,COMPLETED,,"Friday, September 10, 2021",2022-06-16,"ALAUSA, IKEJA"
SUPPLY OF OFFICE FURNITURE,OFFICE OF THE STATE AUDITOR GENERAL,ocds-5q8fsw-6202214655035,"₦2,500,000.00",WISEAB NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",23,2021,COMPLETED,,"Thursday, December 23, 2021",2022-06-16,"ALAUSA, IKEJA"
SUPPLY OF FURNITURE & OFFICE EQUIPMENT,OFFICE OF THE STATE AUDITOR GENERAL,ocds-5q8fsw-6202276028476,"₦7,215,000.00",WISEAB NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",23,2021,COMPLETED,,"Friday, December 17, 2021",2022-06-16,"ALAUSA, IKEJA"
SUPPLY AND INSTALLATION OF FURNITURE FOR 460 SEATERS LECTURES THEATER AT LASUED.,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202222652531,"₦325,500,000.00",ARTOFEEKS NIG. LIMITED,Private Organization,"₦250,000,001 and above",54,2022,ONGOING,ONGOING,"Friday, May 20, 2022",2022-06-16,LASUED
JOB INITIATIVE LAGOS PROGRAM (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202284616012,"₦189,000,000.00",LOFTYINC ALLIED PARTNERS LIMITED,Private Organization,,0,2022,ONGOING,ONGOING,"Tuesday, May 31, 2022",2022-06-16,LAGOS STATE
RE-BRANDING OF THE LASUSTECH AND LASUED,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202246011713,"₦25,600,000.00",MUMOG ENTERPRISES,Private Organization,,0,2022,ONGOING,ONGOING,"Tuesday, April 19, 2022",2022-06-16,LASUSTECH AND LASUED
"PROCUREMENT & INTALLATION OF MEDIA SYSSTEMS FOR THE BUBA MARWA AUDITORIUM @LASU, OJO CAMPUS",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202281481520,"₦24,453,000.00",ACCURATE STREAM NIG LIMITED,Private Organization,,0,2022,SUCCESSFUL,COMPLETED,"Tuesday, April 12, 2022",2022-06-16,OJO
ENGAGEMENT OF A CONSULTANT TO CONDUCT ENVIRONMENTAL AND SOCIAL IMPACT ASSESSMENT(ESIA) STUDY OF THE LIGHT-UP LAGOS PHASE 1 COMMUNITY ELECTRICITY DISTRIBUTION INTERVENTION,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202250134753,"₦47,881,250.00",MIFOR CONSULT NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",30,2022,ONGOING,,"Thursday, March 31, 2022",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF CONSULTANT TO SUPPORT THE PROCESS OF DEVELOPING THE LAGOS STATE ELECTRICITY POLICY AND THE DEVELOPMENT/ MODIFICATION OF THE LAGOS STATE ELECTRICITY LAW,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202214412173,"₦25,000,000.00",EXCREDITE CONSULTING LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",29,2021,ONGOING,,"Tuesday, May 18, 2021",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF CONSULTANT TO SUPPORT THE PROCESS OF DEVELOPING THE LAGOS STATE ELECTRICITY POLICY AND THE DEVELOPMENT/ MODIFICATION OF THE LAGOS STATE ELECTRICITY LAW,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202235145563,"₦25,000,000.00","ADEPETUN, CAXTON- MARTINS, AGBOR & SEGUN  BAR,  & SOLICITORS",Private Organization,"₦50,000,001 to ₦100,000,000",24,2021,ONGOING,,"Tuesday, March 9, 2021",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF CONSULTANT FOR THE AUDIT OF MEDIUM AND LOW VOLTAGE INFRASTRUCTURE WITHIN ALAUSA POWER DISTRIBUTION NETWORK,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202223361543,"₦19,000,000.00",ROYAL POWER AND ENERGY LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",44,2021,COMPLETED,,"Thursday, October 7, 2021",2022-06-16,"ALAUSA, IKEJA"
PROCUREMENT AND INSTALLATION OF SOLAR POWER EQUIPMENT FOR MUSHIN GENERAL HOSPITAL,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202282523533,"₦42,217,070.00",ROYAL POWER AND ENERGY LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",44,2021,COMPLETED,,"Monday, August 30, 2021",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF FIRM FOR PRODUCING A DOCUMENTARY FOR MINISTRY OF ENERGY AND MINERAL RESOURCES SRATEGIC PROGRAMS AND INITIATIVES,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202251864182,"₦3,800,000.00",ULTRASHOT NIG LTD,Private Organization,"₦5,000,001 to ₦10,000,000",12,2021,COMPLETED,,"Tuesday, October 19, 2021",2022-06-16,"ALAUSA, IKEJA"
RENOVATION OF BLOCK 6 GROUND FLOOR AND PART OF FIRST FLOOR OF THE MINISTRY,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202257573055,"₦63,899,244.31",SIRIANO LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",33,2021,ONGOING,,"Saturday, October 16, 2021",2022-06-16,"ALAUSA, IKEJA"
REQUEST FOR TRAINING WORKSHOPS APPROVAL,"LOCAL GOVERNMENT ESTABLISHMENT, TRAINING  &PENSIONS",ocds-5q8fsw-6202214781261,"₦198,090,000.00",NEW CONCEPT CONSULTING LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",23,2022,ONGOING,,"Thursday, April 28, 2022",2022-06-16,"IKEJA, LAGOS"
ELECTRIFICATION OF MCC ETI-OSA,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202228577183,"₦119,890,078.13",GOSSLINK ENGINEERING LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",36,2021,COMPLETED,,"Wednesday, August 4, 2021",2022-06-16,"ALAUSA, IKEJA"
Procurement of 22 Rolls of Pre-Printed Sheets for the production of Number Plate,LAGOS STATE NUMBER PLATE PRODUCTION AUTHORITY,ocds-5q8fsw-6202267228353,"₦93,500,000.00",BASOK INTELLIGENT SOLUTIONS LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, August 24, 2021",2022-06-16,"OSHODI, LAGOS"
DISTRIBUTION UPGRADE AND METER INSTALLATION AT ALIMOSHO OKUNOLA -AGEGE- OKOOBA,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202253264408,"₦495,395,884.00",COMERCIO ELECTRICITY EXCHANGE,Private Organization,"₦250,000,001 and above",70,2021,ONGOING,,"Wednesday, December 29, 2021",2022-06-16,Unspecified
"Procurement of Procurement of 20MT Aluminum Substrate, 200 Rolls & 100 Rolls of Hot Stamping Foil-MV Blue & Red respectively for the production of Number Plate",LAGOS STATE NUMBER PLATE PRODUCTION AUTHORITY,ocds-5q8fsw-6202211680027,"₦182,043,380.00",KOLBEL LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",34,2021,COMPLETED,,"Tuesday, August 24, 2021",2022-06-16,"OSHODI, LAGOS"
DISTRIBUTION UPGRADE AND METER INSTALLATION AT ALIMOSHO/ORELOPE,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202222155140,"₦497,108,764.00",COMERCIO ELECTRICITY EXCHANGE,Private Organization,"₦250,000,001 and above",70,2021,ONGOING,,"Wednesday, December 29, 2021",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF CONSULTANT  FOR THE  DEPLOYMENT OF OPTIMIZATION SOLUTION FOR PROJECT EFFICIENCY,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202265154316,"₦39,000,000.00",CT WORX LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",30,2021,ONGOING,,"Monday, November 8, 2021",2022-06-16,Unspecified
RENOVATION OF THE ENTIRE OFFICE ACCOMMODATION AT THE LAGOS STATE MUSLIM PILGRIMS WELFARE BOARD,MUSLIM PILGRIMS’ WELFARE BOARD,ocds-5q8fsw-6202227631435,"₦38,084,886.61",WAS.KAYMOR AND COMPANY LTD,Private Organization,"₦100,000,001 to ₦200,000,000",40,2021,ONGOING,,"Saturday, October 9, 2021",2022-06-16,"IKEJA, LAGOS"
"EMERGENCY PROCUREMENT AND REFITTING OF CABLES IN ELECTRICAL FACILITIES OF BLOCK 1,2 AND 3 AT THE STATE SECRETARIAT",MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202257573573,"₦20,998,047.93",BI - AXIAL PROJECT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 2, 2021",2022-06-16,"ALAUSA, IKEJA"
ENGAGEMENT OF CONSULTANT FOR THE PROJECT MANAGEMENT OF THE FULL DEPLOYMENT OF THE OPERATION COMMAND CENTRE,MINISTRY OF ENERGY & MINERAL RESOURCES DEV,ocds-5q8fsw-6202261210253,"₦10,000,000.00",TECHNOCRAT CONSULT AND  IT SYSTEMS LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",20,2021,ACTIVE,,"Tuesday, May 11, 2021",2022-06-16,"ALAUSA, IKEJA"
Procurement of stationaries and other materials for registration of title document in the Land Registry for the last quarter of the year 2021,LANDS BUREAU,ocds-5q8fsw-6202222484526,"₦2,000,000.00",JUDCOM ENTERPRISES,Private Organization,"₦10,000,001 to ₦25,000,000",22,2021,ACTIVE,,"Sunday, December 12, 2021",2022-06-16,"ALAUSA, IKEJA"
"Renovation of Block 13 & 14, Lands Bureau",LANDS BUREAU,ocds-5q8fsw-6202274757887,"₦75,857,049.65",AKSU NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",39,2021,ACTIVE,,"Saturday, October 16, 2021",2022-06-16,"ALAUSA, IKEJA"
"Procurement Of HP  Computers and other ict facilities for the Coordinating Offices, Zonal Offices and EMIS",OFFICE OF EDUCATION & QUALITY ASSURANCE,ocds-5q8fsw-6202273525534,"₦48,746,000.00",MIDPOINT VENTURES AND LOGISTICS,Private Organization,,0,2021,COMPLETED,COMPLETED,"Monday, August 16, 2021",2022-06-16,"IKEJA, LAGOS"
Procurement and Installation of FM Automatic (Waterless) Fire Extinguishing System in Lands Bureau,LANDS BUREAU,ocds-5q8fsw-6202234544536,"₦40,000,000.00",TAGA VENTURES,Private Organization,"₦10,000,001 to ₦25,000,000",23,2021,ACTIVE,,"Saturday, February 6, 2021",2022-06-16,"ALAUSA, IKEJA"
Procurement Of Customized Android Tablet for Quality Assurance Evaluator,OFFICE OF EDUCATION & QUALITY ASSURANCE,ocds-5q8fsw-6202242280041,"₦31,550,000.00",MIDPOINT VENTURES AND LOGISTICS,Private Organization,,0,2021,COMPLETED,,"Monday, August 16, 2021",2022-06-16,"IKEJA, LAGOS"
Laying of Interlocking Paving Stones at the surrounding of the MTN Building of Lands Bureau.,LANDS BUREAU,ocds-5q8fsw-6202242407048,"₦26,259,992.50",AKSU NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",39,2021,ACTIVE,,"Monday, December 13, 2021",2022-06-16,"ALAUSA, IKEJA"
Servicing of Burglar/ Fire Alarm of Land Registry,LANDS BUREAU,ocds-5q8fsw-6202240313724,"₦505,250.00",CO -OD COMMUNICATION,Private Organization,,0,2021,ACTIVE,,"Thursday, December 9, 2021",2022-06-16,"ALAUSA, IKEJA"
Construction of Gate House and Perimeter Fence round mixed Development Scheme Epe.,LANDS BUREAU,ocds-5q8fsw-6202281420704,"₦179,573,728.00",EPH 12 NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",41,2021,ACTIVE,,"Wednesday, December 15, 2021",2022-06-16,"EPE, LAGOS"
Procurement of Toiletries for (PMO),PARASTATAL MONITORING OFFICE,ocds-5q8fsw-6202244730156,"₦2,119,040.00",MAGNOLIA,Private Organization,"₦10,000,001 to ₦25,000,000",22,2022,COMPLETED,COMPLETED,"Wednesday, March 30, 2022",2022-06-16,"IKEJA, LAGOS"
Servicing and Replacement of Machine Parts for Three (3) Industrial Printing & Photocopy Machine and Three(3) E- Certificate of Occupancy Machine,LANDS BUREAU,ocds-5q8fsw-6202240417381,"₦4,311,749.98",BARYAN TECHNO SERVICES,Private Organization,"₦5,000,001 to ₦10,000,000",17,2021,ACTIVE,,"Monday, November 29, 2021",2022-06-16,"ALAUSA, IKEJA"
TEAM BONDING RETREAT: A CAPACITY BUILDING WORKSHOP FOR STAFFERS OF LAND SEVICES DIRECTORATE BASED ON THEMES AGENDA,LANDS BUREAU,ocds-5q8fsw-6202217347134,"₦3,255,000.00",REALS ACADEMY LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",31,2021,ACTIVE,,"Monday, August 16, 2021",2022-06-16,"ALAUSA, IKEJA"
"CLEARING OF ENCROACHMENT AND ILLEGAL SETTLEMENT ON THE COASTAL ROAD ALIGNMENT AND AREA UNDER HIGH TENSION WIRES,LEKKI PENINSULA SCHEME I (PHASE II)",NEW TOWNS DEVELOPMENT AUTHORITY,ocds-5q8fsw-6202262332723,"₦25,350,000.00",ROJ OLATUNJI VENTURES LTD,Private Organization,"₦5,000,001 to ₦10,000,000",12,2021,ONGOING,,"Tuesday, August 24, 2021",2022-06-16,LEKKI PENINSULA SCHEME I
Renovation/Maintenance of Staff Quarters YR2021 located in Amowo Odofin,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202251548371,"₦9,988,212.62",COSTA DEL SOL LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,new award,ongoing,"Thursday, September 30, 2021",2022-06-16,Amuwo Odofin
SUPPLY OF FAMILY PLANNING COMMODITIES FOR YEAR 2021,MINISTRY OF HEALTH,ocds-5q8fsw-6202201641010,"₦52,000,000.00",SOCIETY FOR FAMILY HEALTH,Private Organization,"₦50,000,001 to ₦100,000,000",25,2022,ONGOING,,"Thursday, May 5, 2022",2022-06-16,"ALAUSA, IKEJA"
Procurement of Computer Systems and Printersfor E-GIS Go Live Project,LANDS BUREAU,ocds-5q8fsw-6202278423510,"₦44,424,375.00",CO-OD COMMUNICATION,Private Organization,"₦25,000,001 to ₦50,000,000",27,2021,COMPLETED,,"Thursday, July 1, 2021",2022-06-16,"ALAUSA, IKEJA"
Procurement of Office Equipment and Furniture for Land Registry,LANDS BUREAU,ocds-5q8fsw-6202283723570,"₦3,939,000.00",JUDCOM ENTERPRISES,Private Organization,"₦10,000,001 to ₦25,000,000",22,2021,ACTIVE,,"Thursday, May 20, 2021",2022-06-16,Unspecified
Contract for Procurement of Office P.A.B.X Intercom System in Lands Bureau,LANDS BUREAU,ocds-5q8fsw-6202232577337,"₦2,128,500.00",CO-OD COMMUNICATION,Private Organization,"₦25,000,001 to ₦50,000,000",27,2021,NEW PROJECT,,"Wednesday, May 19, 2021",2022-06-16,"ALAUSA, IKEJA"
Procurement & Installation of 300KVA Generator,MATERIAL  TESTING LABORATORY SERVICES,ocds-5q8fsw-6202225130561,"₦25,320,200.00",STF VENTURES LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",18,2021,COMPLETED,,"Monday, December 6, 2021",2022-06-16,LAGOS
Procurement & Installation of Laboratory Equip.,MATERIAL  TESTING LABORATORY SERVICES,ocds-5q8fsw-6202226871501,"₦112,542,869.25",STF VENTURES LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",18,2021,COMPLETED,,"Wednesday, September 15, 2021",2022-06-16,LAGOS
INSTALLATION OF DIRECTIONAL AND SAFETY SIGNAGES AT STRATEGIC JETTIES IN LAGOS STATE,LAGOS STATE WATERWAYS AUTHORITY,ocds-5q8fsw-6202203847676,"₦9,960,000.00",ANIMAZE MULTIMEDIA,Private Organization,"₦10,000,001 to ₦25,000,000",21,2021,COMPLETED,,"Wednesday, December 15, 2021",2022-06-15,"IKOYI, LAGOS"
PROCUREMENT OF LIFE RAFTS FOR LASWA BOATS AT FALOMO,LAGOS STATE WATERWAYS AUTHORITY,ocds-5q8fsw-6202272142280,"₦9,669,625.00",BIMADEY PROJECTS LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,COMPLETED,,"Wednesday, December 15, 2021",2022-06-15,"IKOYI, LAGOS"
Procurement of ICT & Internet Equipment.,MATERIAL  TESTING LABORATORY SERVICES,ocds-5q8fsw-6202244312238,"₦30,000,000.00",DOTB INNOVATIONS LTD,Private Organization,,0,2021,COMPLETED,Provide Network & Internet,"Saturday, May 15, 2021",2022-06-15,"ALAUSA, LAGOS"
Procurement of Technical Equipment,MATERIAL  TESTING LABORATORY SERVICES,ocds-5q8fsw-6202200320528,"₦15,019,446.64",DOTB INNOVATIONS LTD,Private Organization,,0,2021,COMPLETED,A Set of Highly Technical Equipment,"Friday, May 14, 2021",2022-06-15,"ALAUSA, IKEJA"
SUPPLY OF MOTOROLA DIGITAL TWO-WAY RADIO PORTABLE COMMUNICATION HANDSETS FOR LASAMBUS OPERATIONS,MINISTRY OF HEALTH,ocds-5q8fsw-6202275633604,"₦9,834,000.00",MULTIPLEX TECHNOLOGIES NIGERIA LIMITED,Private Organization,,0,2022,ON-GOING,,"Tuesday, May 17, 2022",2022-06-15,LAGOS
"SUPPLY OF DRUGS, CONSUMMABLES, AND PERSONAL PROTECTIVE EQUIPMENT FOR FOLARIN COKER STAFF CLINIC (FCSC), ALAUSA",MINISTRY OF HEALTH,ocds-5q8fsw-6202210612632,"₦24,519,002.50",HEALTHLINE GLOBAL SERVICES LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, May 17, 2022",2022-06-15,"ALAUSA, LAGOS"
"DEMOLITION OF EXISTING BUILDING AT SOMOLU LOCAL GOVERNMENT SECRETARIAT AT DUROSIMI STREET OFF OGUNTOLU STREET, SOMOLU, LAGOS",MINISTRY OF HEALTH,ocds-5q8fsw-6202261461515,"₦15,540,700.00",YOMI & SON ENTERPRISES,Private Organization,,0,2022,ONGOING,,"Tuesday, May 17, 2022",2022-06-15,"SOMOLU, LAGOS"
"RENOVATION/EXTENSION OF PSYCHIATRIC WARD AT LASUTH, IKEJA",MINISTRY OF HEALTH,ocds-5q8fsw-6202211157650,"₦69,821,724.13",SPIMIA SERVICES LIMITED,Private Organization,,0,2022,ONGOING,,"Friday, April 8, 2022",2022-06-15,"IKEJA, LAGOS"
CONSTRUCTION OF NEW MASSEY STREET CHILDREN HOSPITAL MAIN BUILDING,MINISTRY OF HEALTH,ocds-5q8fsw-6202268634208,"₦20,420,727,024.69",SHAPOORJI PALLONJI NIGERIA LIMITED,Private Organization,,0,2022,ON-GOING,,"Thursday, April 28, 2022",2022-06-15,LAGOS
PROCUREMENT OF FURNITURE AND FITTINGS,LAGOS STATE COLLEGE OF NURSING AND MIDWIFERY,ocds-5q8fsw-6202203160208,"₦3,447,200.00",COM'AD SOLUTIONS,Private Organization,"₦10,000,001 to ₦25,000,000",35,2022,COMPLETED,COMPLETED,"Friday, April 22, 2022",2022-06-15,IGANDO
ANNUAL DRYDOCKING OF LASWA FLEET,LAGOS STATE WATERWAYS AUTHORITY,ocds-5q8fsw-6202220844677,"₦17,166,213.00",VICKY MARINE ENTERPRISES,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,COMPLETED,,"Wednesday, November 24, 2021",2022-06-15,"IKOYI, LAGOS"
"SUPPLY OF CONSUMABLES FOR SEQUENCING OF 1,000 COVID-19 SAMPLES",MINISTRY OF HEALTH,ocds-5q8fsw-6202273438208,"₦113,102,595.59",PETER & JANE LIMITED,Private Organization,,0,2022,ON-GOING,,"Friday, May 6, 2022",2022-06-15,"ALAUSA, IKEJA"
REGENERATIVE AGRICULTURE WITH WATER HYACINTH-BASED BIOCHAR,LAGOS STATE WATERWAYS AUTHORITY,ocds-5q8fsw-6202284006416,"₦3,080,000.00",P.I.B GLOBAL SERVICES,Private Organization,"₦25,000,001 to ₦50,000,000",34,2021,COMPLETED,,"Monday, October 4, 2021",2022-06-15,"IKOYI, LAGOS"
WATER HYACINTH RECYCLING 2021 INITIATIVE (HANDICRAFTS TRAINING WORKSHOP),LAGOS STATE WATERWAYS AUTHORITY,ocds-5q8fsw-6202212400857,"₦2,446,500.00",MITIMETH ENTERPRISE,Private Organization,"₦10,000,001 to ₦25,000,000",23,2021,COMPLETED,,"Monday, October 4, 2021",2022-06-15,"IKOYI, LAGOS"
